row_id,link_type,url,http,status,final_url
1,orig,http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1000282,200,alive,https://journals.plos.org:443/plosgenetics/article?id=10.1371/journal.pgen.1000282
1,pubmed,https://pubmed.ncbi.nlm.nih.gov/19043545/,200,alive,https://pubmed.ncbi.nlm.nih.gov/19043545/
1,doi,https://doi.org/10.1371/journal.pgen.1000282,200,alive,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1000282
2,orig,http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1000672,200,alive,https://journals.plos.org:443/plosgenetics/article?id=10.1371/journal.pgen.1000672
2,pubmed,https://pubmed.ncbi.nlm.nih.gov/19798445/,200,alive,https://pubmed.ncbi.nlm.nih.gov/19798445/
2,doi,https://doi.org/10.1371/journal.pgen.1000672,200,alive,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1000672
3,orig,https://www.nature.com/articles/ng.507,200,alive,https://www.nature.com/articles/ng.507?error=cookies_not_supported&code=ad6edc36-97a2-43a4-bdd9-adad5ad14f2a
3,pubmed,https://pubmed.ncbi.nlm.nih.gov/20037589/,200,alive,https://pubmed.ncbi.nlm.nih.gov/20037589/
3,doi,https://doi.org/10.1038/ng.507,200,alive,https://www.nature.com/articles/ng.507?error=cookies_not_supported&code=10f9ca32-3d0c-45ae-ac82-c352e7df0adb
4,orig,https://www.nature.com/articles/ng.837,200,alive,https://www.nature.com/articles/ng.837?error=cookies_not_supported&code=316d9938-6742-4273-80f5-601584fa1477
4,pubmed,https://pubmed.ncbi.nlm.nih.gov/21572414/,200,alive,https://pubmed.ncbi.nlm.nih.gov/21572414/
4,doi,https://doi.org/10.1038/ng.837,200,alive,https://www.nature.com/articles/ng.837?error=cookies_not_supported&code=c34e9157-5d32-41c8-8931-97c27ce267e1
5,orig,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002193,200,alive,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002193
5,pubmed,https://pubmed.ncbi.nlm.nih.gov/21829377/,200,alive,https://pubmed.ncbi.nlm.nih.gov/21829377/
5,doi,https://doi.org/10.1371/journal.pgen.1002193,200,alive,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002193
6,orig,https://www.nature.com/articles/nature10354,200,alive,https://www.nature.com/articles/nature10354?error=cookies_not_supported&code=0b9d94ed-dd66-473d-9a49-ef79e3d28c96
6,pubmed,https://pubmed.ncbi.nlm.nih.gov/21886157/,200,alive,https://pubmed.ncbi.nlm.nih.gov/21886157/
6,doi,https://doi.org/10.1038/nature10354,200,alive,https://www.nature.com/articles/nature10354?error=cookies_not_supported&code=be8324f7-ed49-4d01-8b65-fc10f00996c1
7,orig,http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002270,200,alive,https://journals.plos.org:443/plosgenetics/article?id=10.1371/journal.pgen.1002270
7,pubmed,https://pubmed.ncbi.nlm.nih.gov/21931564/,200,alive,https://pubmed.ncbi.nlm.nih.gov/21931564/
7,doi,https://doi.org/10.1371/journal.pgen.1002270,200,alive,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002270
8,orig,https://www.nature.com/articles/ng.1073,200,alive,https://www.nature.com/articles/ng.1073?error=cookies_not_supported&code=c4991270-fb87-403a-8c4d-ff5f9871fada
8,pubmed,https://pubmed.ncbi.nlm.nih.gov/22286219/,200,alive,https://pubmed.ncbi.nlm.nih.gov/22286219/
8,doi,https://doi.org/10.1038/ng.1073,200,alive,https://www.nature.com/articles/ng.1073?error=cookies_not_supported&code=df0db6a7-2386-4eb9-a486-07d18cadcde5
9,orig,http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002490,200,alive,https://journals.plos.org:443/plosgenetics/article?id=10.1371/journal.pgen.1002490
9,pubmed,https://pubmed.ncbi.nlm.nih.gov/22359512/,200,alive,https://pubmed.ncbi.nlm.nih.gov/22359512/
9,doi,https://doi.org/10.1371/journal.pgen.1002490,200,alive,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002490
10,orig,https://academic.oup.com/hmg/article/21/6/1444/560782,403,blocked,https://academic.oup.com/hmg/article/21/6/1444/560782
11,orig,http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002907,200,alive,https://journals.plos.org:443/plosgenetics/article?id=10.1371/journal.pgen.1002907
11,pubmed,https://pubmed.ncbi.nlm.nih.gov/22916037/,200,alive,https://pubmed.ncbi.nlm.nih.gov/22916037/
11,doi,https://doi.org/10.1371/journal.pgen.1002907,200,alive,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002907
12,orig,http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003005,200,alive,https://journals.plos.org:443/plosgenetics/article?id=10.1371/journal.pgen.1003005
12,pubmed,https://pubmed.ncbi.nlm.nih.gov/23093944/,200,alive,https://pubmed.ncbi.nlm.nih.gov/23093944/
12,doi,https://doi.org/10.1371/journal.pgen.1003005,200,alive,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003005
13,orig,https://link.springer.com/article/10.1007%2Fs12263-012-0313-7,200,alive,https://link.springer.com/article/10.1007/s12263-012-0313-7?error=cookies_not_supported&code=9ccb9206-779b-4a89-9d9d-9820884e6984
13,pubmed,https://pubmed.ncbi.nlm.nih.gov/23065485/,200,alive,https://pubmed.ncbi.nlm.nih.gov/23065485/
13,doi,https://doi.org/10.1007/s12263-012-0313-7,200,alive,https://link.springer.com/article/10.1007/s12263-012-0313-7?error=cookies_not_supported&code=45ee8741-bbe8-4770-9b70-7c2337758079
14,orig,https://genomemedicine.biomedcentral.com/articles/10.1186/gm417,200,alive,https://link.springer.com/article/10.1186/gm417?error=cookies_not_supported&code=0e747865-4f57-4bea-9463-312edb47b09f
14,pubmed,https://pubmed.ncbi.nlm.nih.gov/23414815/,200,alive,https://pubmed.ncbi.nlm.nih.gov/23414815/
14,doi,https://doi.org/10.1186/gm417,200,alive,https://link.springer.com/article/10.1186/gm417?error=cookies_not_supported&code=99af08dd-3ec2-432f-8418-8fac46dd9529
15,orig,https://www.ahajournals.org/doi/abs/10.1161/CIRCGENETICS.112.964619,403,blocked,https://www.ahajournals.org/doi/abs/10.1161/CIRCGENETICS.112.964619
15,pubmed,https://pubmed.ncbi.nlm.nih.gov/23362303/,200,alive,https://pubmed.ncbi.nlm.nih.gov/23362303/
15,doi,https://doi.org/10.1161/circgenetics.112.964619,403,blocked,https://www.ahajournals.org/doi/10.1161/CIRCGENETICS.112.964619
16,orig,https://onlinelibrary.wiley.com/doi/abs/10.1002/humu.22267,403,blocked,https://onlinelibrary.wiley.com/doi/abs/10.1002/humu.22267
16,pubmed,https://pubmed.ncbi.nlm.nih.gov/23281178/,200,alive,https://pubmed.ncbi.nlm.nih.gov/23281178/
16,doi,https://doi.org/10.1002/humu.22267,403,blocked,https://onlinelibrary.wiley.com/doi/10.1002/humu.22267
17,orig,https://linkinghub.elsevier.com/retrieve/pii/S1550-4131(13)00257-X,200,alive,https://linkinghub.elsevier.com/retrieve/pii/S1550-4131(13)00257-X
17,pubmed,https://pubmed.ncbi.nlm.nih.gov/23823483/,200,alive,https://pubmed.ncbi.nlm.nih.gov/23823483/
17,doi,https://doi.org/10.1016/j.cmet.2013.06.013,200,alive,https://linkinghub.elsevier.com/retrieve/pii/S155041311300257X
18,orig,http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1004132,200,alive,https://journals.plos.org:443/plosgenetics/article?id=10.1371/journal.pgen.1004132
18,pubmed,https://pubmed.ncbi.nlm.nih.gov/24586186/,200,alive,https://pubmed.ncbi.nlm.nih.gov/24586186/
18,doi,https://doi.org/10.1371/journal.pgen.1004132,200,alive,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1004132
19,orig,http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1004212,200,alive,https://journals.plos.org:443/plosgenetics/article?id=10.1371/journal.pgen.1004212
19,pubmed,https://pubmed.ncbi.nlm.nih.gov/24625756/,200,alive,https://pubmed.ncbi.nlm.nih.gov/24625756/
19,doi,https://doi.org/10.1371/journal.pgen.1004212,200,alive,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1004212
20,orig,https://www.nature.com/articles/ng.2982,200,alive,https://www.nature.com/articles/ng.2982?error=cookies_not_supported&code=2f4be755-a61e-4a2c-8cb9-4de6155ba496
20,pubmed,https://pubmed.ncbi.nlm.nih.gov/24816252/,200,alive,https://pubmed.ncbi.nlm.nih.gov/24816252/
20,doi,https://doi.org/10.1038/ng.2982,200,alive,https://www.nature.com/articles/ng.2982?error=cookies_not_supported&code=7f2169ec-6b93-42a2-b46a-1612e20f8848
21,orig,https://academic.oup.com/hmg/article/23/21/5847/2901042,403,blocked,https://academic.oup.com/hmg/article/23/21/5847/2901042
21,pubmed,https://pubmed.ncbi.nlm.nih.gov/24927737/,200,alive,https://pubmed.ncbi.nlm.nih.gov/24927737/
21,doi,https://doi.org/10.1093/hmg/ddu301,403,blocked,https://academic.oup.com/hmg/article-lookup/doi/10.1093/hmg/ddu301
22,orig,http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1004835,200,alive,https://journals.plos.org:443/plosgenetics/article?id=10.1371/journal.pgen.1004835
22,pubmed,https://pubmed.ncbi.nlm.nih.gov/25569235/,200,alive,https://pubmed.ncbi.nlm.nih.gov/25569235/
22,doi,https://doi.org/10.1371/journal.pgen.1004835,200,alive,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1004835
23,orig,https://www.nature.com/articles/ncomms8208,200,alive,https://www.nature.com/articles/ncomms8208?error=cookies_not_supported&code=16ad345e-b380-4623-bda2-ddd15276a99f
